Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1208120116,nba,2017/04/26,$2 NBA Head-To-Head (Experienced Players Excluded) ,$60k,266.50,0,1,2,2 player league,2,3.60,https://www.fanduel.com/entry/EWMKONGDR,
S1208120050,nba,2017/04/26,$1 NBA Head-To-Head (Experienced Players Excluded) ,$60k,266.50,0,1,2,2 player league,1,1.80,https://www.fanduel.com/entry/CWBWVDNCP,
S1208118940,nba,2017/04/26,$5 NBA Head-To-Head (Experienced Players Excluded) ,$60k,266.50,0,1,2,2 player league,5,4.50,https://www.fanduel.com/entry/BWYKXSRYL,
S1208118814,nba,2017/04/26,$2 NBA Head-To-Head (Experienced Players Excluded) ,$60k,266.50,0,2,2,2 player league,2,0,https://www.fanduel.com/entry/DCMSSBJUL,
S1208118426,nba,2017/04/26,$1 NBA Head-To-Head (Experienced Players Excluded) ,$60k,266.50,0,1,2,2 player league,1,1.80,https://www.fanduel.com/entry/BDDZXWVQL,
S1208118291,nba,2017/04/26,$2 NBA Head-To-Head (Experienced Players Excluded) ,$60k,266.50,0,1,2,2 player league,2,1.80,https://www.fanduel.com/entry/FDLDYCOTJ,
S1208118022,nba,2017/04/26,$1 NBA Head-To-Head (Experienced Players Excluded) ,$60k,266.50,0,1,2,2 player league,1,1.80,https://www.fanduel.com/entry/AQWFSLHNZ,
S1208117111,nba,2017/04/26,$1 NBA Head-To-Head (Experienced Players Excluded) ,$60k,266.50,0,1,2,2 player league,1,1.80,https://www.fanduel.com/entry/EVYNDONPF,
S1208117005,nba,2017/04/26,$2 NBA Head-To-Head (Experienced Players Excluded) ,$60k,266.50,0,1,2,2 player league,2,1.80,https://www.fanduel.com/entry/CJGFEPNNB,
S1208116863,nba,2017/04/26,$2 NBA Head-To-Head (Experienced Players Excluded) ,$60k,266.50,0,1,2,2 player league,2,1.80,https://www.fanduel.com/entry/CTYGYEKUP,
S1208116776,nba,2017/04/26,$2 NBA Head-To-Head (Experienced Players Excluded) ,$60k,266.50,0,1,2,2 player league,2,3.60,https://www.fanduel.com/entry/BSDHPGPCP,
S1208116554,nba,2017/04/26,NBA $2 Double Up ( Experienced Players Excluded),$60k,266.50,,5,11,Tournament,2,4.00,https://www.fanduel.com/entry/CRUQVESST,
S1208116497,nba,2017/04/26,NBA $2 Double Up ( Experienced Players Excluded),$60k,266.50,,3,11,Tournament,2,4.00,https://www.fanduel.com/entry/AHFYYUFWP,
S1208116160,nba,2017/04/26,NBA $1 50/50 Contest (Experienced Players Excluded) (Main),$60k,266.50,,7,20,Tournament,1,1.80,https://www.fanduel.com/entry/BZCATZDNJ,
S1207730577,nba,2017/04/26,NBA Fantasy Playoffs presented by Bud Light ,$60k,266.50,,11110,51782,Tournament,0,0,https://www.fanduel.com/entry/AZYORZABT,
S1207600099,nba,2017/04/25,$1 NBA Head-To-Head (Experienced Players Excluded) ,$60k,297.90,0,1,2,2 player league,1,1.80,https://www.fanduel.com/entry/DECKWAYNV,
